title,author,year,country,read
The Awakening,Kate Chopin,1899,,
The Beautyful Ones Are Not Yet Born,Ayi Kwei Armah,1968,Ghana,
The Betrothed,Alessandro Manzoni,1827,Italy,
The Bluest Eye,Toni Morrison,1970,,
The Book of Choke,Kgebetli Moele,2006,South Africa,
The Book of the New Sun,Gene Wolfe,1980,,
The Brief Wondrous Life of Oscar Wao,Junot Díaz,2007,Dominican Republic/USA,
The Brothers Karamazov,Fyodor Dostoevsky,1880,Russia,
The Cairo Trilogy,Naguib Mahfouz,1956,Egypt,
The Catcher in the Rye,J.D. Salinger,1951,,Yes
The Color Purple,Alice Walker,1982,,
The Count of Monte Cristo,Alexandre Dumas,1844,France,Yes
The Death of Artemio Cruz,Carlos Fuentes,1962,Mexico,
The Devil to Pay in the Backlands,João Guimarães Rosa,1956,Brazil,
The Famished Road,Ben Okri,1991,Nigeria,
The Feast of the Goat,Mario Vargas Llosa,2000,Peru/Dominican Republic,
The Forever War,Joe Haldeman,1974,,
The God of Small Things,Arundhati Roy,1997,India,
The Grapes of Wrath,John Steinbeck,1939,,Yes
The Great Gatsby,F. Scott Fitzgerald,1925,,Yes
The Guide,R.K. Narayan,1958,India,
The Handmaid's Tale,Margaret Atwood,1985,,
The Heart Is a Lonely Hunter,Carson McCullers,1940,,
The Home and the World,Rabindranath Tagore,1916,India,
The Hour of the Star,Clarice Lispector,1977,Brazil,
The House of Mirth,Edith Wharton,1905,,
The House of the Spirits,Isabel Allende,1982,Chile,
The Illegal,Lawrence Hill,2015,,
The Informers,Juan Gabriel Vásquez,2004,Colombia,
The Invention of Morel,Adolfo Bioy Casares,1940,Argentina,
The Joy Luck Club,Amy Tan,1989,,
The Joys of Motherhood,Buchi Emecheta,1979,Nigeria,
The Kingdom of This World,Alejo Carpentier,1949,Cuba,
The Known World,Edward P. Jones,2003,USA,
The Last of the Mohicans,James Fenimore Cooper,1826,,
The Leopard,Giuseppe Tomasi di Lampedusa,1958,Italy,
The Lost Steps,Alejo Carpentier,1953,Venezuela,
The Magic Mountain,Thomas Mann,1924,Germany,
The Makioka Sisters,Jun'ichirō Tanizaki,1943,Japan,
The Man Who Could Move Clouds,Ingrid Rojas Contreras,2022,Colombia,
The Martian,Andy Weir,2011,,Yes
The Master and Margarita,Mikhail Bulgakov,1966,Russia,
The Name of the Rose,Umberto Eco,1980,Italy,
The Obscene Bird of Night,José Donoso,1970,Chile,
The Palm-Wine Drinkard,Amos Tutuola,1952,Nigeria,
The Picture of Dorian Gray,Oscar Wilde,1890,Ireland,
The Pilgrim's Progress,John Bunyan,1678,England,
The Plum in the Golden Vase,Anonymous,1610,China,
The Portrait of a Lady,Henry James,1881,,
The Posthumous Memoirs of Brás Cubas,Machado de Assis,1881,Brazil,
The Radetzky March,Joseph Roth,1932,Austria,
The Red and the Black,Stendhal,1830,France,
The Red Badge of Courage,Stephen Crane,1895,,
The Rings of Saturn,W.G. Sebald,1995,Germany,
The River Between,Ngũgĩ wa Thiong'o,1965,Kenya,
The Road,Cormac McCarthy,2006,,Yes
The Running Dream,Wendelin Van Draanen,2011,,
The Savage Detectives,Roberto Bolaño,1998,Mexico/Chile,
The Scarlet Letter,Nathaniel Hawthorne,1850,,
The Secret in Their Eyes,Eduardo Sacheri,2005,Argentina,
The Seven Madmen,Roberto Arlt,1929,Argentina,
The Shadow King,Maaza Mengiste,2019,Ethiopia,
The Slummer,Geoffrey Simpson,2021,,
The Sorrows of Young Werther,Johann Wolfgang von Goethe,1774,Germany,
The Sound and the Fury,William Faulkner,1929,,
The Stranger,Albert Camus,1942,France,
The Sun Also Rises,Ernest Hemingway,1926,,Yes
The Sympathizer,Viet Thanh Nguyen,2015,Vietnam/USA,
The Tale of Genji,Murasaki Shikibu,1010,Japan,
The Tartar Steppe,Dino Buzzati,1940,Italy,
The Temple of the Golden Pavilion,Yukio Mishima,1956,Japan,
The Three Musketeers,Alexandre Dumas,1844,France,
The Three-Body Problem,Cixin Liu,2008,,Tried
The Time Machine,H.G. Wells,1895,,
The Time of the Hero,Mario Vargas Llosa,1963,Peru,
The Tin Drum,Günter Grass,1959,Germany,
The Trial,Franz Kafka,1925,Austria,
The True Story of Ah Q,Lu Xun,1921,China,
The Tunnel,Ernesto Sabato,1948,Argentina,
The Unbearable Lightness of Being,Milan Kundera,1984,Czechia,
The Underdogs,Mariano Azuela,1915,Mexico,
The Vegetarian,Han Kang,2007,South Korea,
The White Tiger,Aravind Adiga,2008,India,
The Wind-Up Bird Chronicle,Haruki Murakami,1994,Japan,
The Witness,Juan José Saer,1984,Argentina,
The Woman in the Dunes,Kōbō Abe,1962,Japan,
Their Eyes Were Watching God,Zora Neale Hurston,1937,,
Things Fall Apart,Chinua Achebe,1958,Nigeria,
Three Trapped Tigers,Guillermo Cabrera Infante,1967,Cuba,
To Kill a Mockingbird,Harper Lee,1960,,Yes
To the Lighthouse,Virginia Woolf,1927,England,
Tom Jones,Henry Fielding,1749,England,
U.S.A. Trilogy,John Dos Passos,1930,,
Ulysses,James Joyce,1922,Ireland,
Uncle Tom's Cabin,Harriet Beecher Stowe,1852,,
Underworld,Don DeLillo,1997,,
Victory City,Salman Rushdie,,,
War and Peace,Leo Tolstoy,1869,Russia,
Water Margin,Shi Nai'an,1400,China,
Wizard of the Crow,Ngũgĩ wa Thiong'o,2006,Kenya,
Woman at Point Zero,Nawal El Saadawi,1975,Egypt,
Wuthering Heights,Emily Brontë,1847,England,
